map_name,cnt_match,cnt_user,cnt_retire_user,percent_retire,SUM_match_time,AVG_match_time
"공동묘지 해골 손가락",41,340,227,66.7647,9213838,119660.23376623377
"해적 상어섬의 비밀",41,325,91,28.0000,14393079,179913.4875
"어비스 운명의 갈림길",40,571,352,61.6462,12521657,103484.76859504133
"공동묘지 비밀의 해골제단",40,72,0,0.0000,4422920,88458.4
"문힐시티 터널 속 무법자",40,80,4,5.0000,5306449,98267.57407407407
"노르테유 붕붕 점프",39,339,86,25.3687,7969365,99617.0625
"월드 그리스의 휴일",38,86,2,2.3256,6041257,95892.96825396825
"문힐시티 지피의 시청광장",37,404,118,29.2079,11501106,111661.22330097087
"놀이동산 스릴만점 레일특급",37,218,159,72.9358,7671956,125769.77049180328
"광산 보석채굴장",37,96,14,14.5833,6551470,123612.64150943396
"[reverse] 빌리지 운하",36,258,48,18.6047,7024108,80736.8735632184
NULL,35,NULL,NULL,NULL,NULL,NULL
"[reverse] 해적 로비 절벽의 전투",35,403,126,31.2655,12747711,163432.1923076923
"놀이동산 워터 슬라이드",34,528,438,82.9545,10099107,108592.54838709677
"문힐시티 지피의 미완성 빌딩",34,119,28,23.5294,4824385,94595.7843137255
"아이스 짜릿한 동계 훈련장",33,101,5,4.9505,7467967,135781.21818181817
"비치 수상비행장",33,166,59,35.5422,6949178,151069.08695652173
"님프 요정 마을의 초대",32,155,70,45.1613,3928925,91370.3488372093
"WKC 싱가폴 마리나 서킷",32,115,44,38.2609,4596730,109445.95238095238
"노르테유 부스터존 점령작전",30,107,40,37.3832,5239078,109147.45833333333
"도검 두 마리의 용",30,260,80,30.7692,7709192,120456.125
"네모 구구 둥지",29,104,23,22.1154,5460092,118697.65217391304
"대저택 루이의 장난감 천국",29,265,138,52.0755,5858981,136255.37209302327
"차이나 빙등축제",29,175,37,21.1429,5768031,106815.38888888889
"차이나 동방명주의 밤",29,250,41,16.4000,7181438,105609.38235294117
"[reverse] 빌리지 두개의 관문",28,105,21,20.0000,4495365,115265.76923076923
"빌리지 파괴된 손가락",28,201,86,42.7861,6254323,118006.09433962264
"빌리지 수로",27,147,52,35.3741,4442241,98716.46666666666
"노르테유 우주 정거장",27,166,50,30.1205,3835218,100926.78947368421
"WKC 상해 서킷",27,161,70,43.4783,4283746,104481.60975609756
"프로즌 브레이크",26,187,70,37.4332,9137844,147384.5806451613
"더 월드",26,142,45,31.6901,5229642,124515.28571428571
"광산 롤러코스터 질주",25,34,2,5.8824,2297651,85098.18518518518
"노르테유 코스모웨이",25,155,51,32.9032,4223224,105580.6
"월드 파리 에펠탑 다이브",25,264,135,51.1364,8034376,163966.85714285713
"노르테유 위험한 지름길",24,213,111,52.1127,7886189,127196.59677419355
"대저택 루이의 숨겨진 비밀 방",24,168,61,36.3095,6915385,109768.01587301587
"[reverse] 아이스 펭귄타운",24,59,13,22.0339,2768316,95459.1724137931
"쥐라기 디노 마을의 초대",24,147,61,41.4966,4456439,127326.82857142857
"[reverse] 아이스 상어의 무덤",24,140,25,17.8571,4972670,108101.52173913043
"팩토리 브로디의 심술",24,140,111,79.2857,4469189,106409.26190476191
"해적 폭풍 속의 질주",23,63,6,9.5238,4004858,125151.8125
"공동묘지 유령의 계곡",23,64,30,46.8750,2658819,106352.76
"[reverse] 아이스 신나는 하프파이프",23,165,78,47.2727,4948423,105285.59574468085
"광산 뽀글뽀글 용암굴",23,74,11,14.8649,3452143,95892.86111111111
"포레스트 폭포속으로",23,69,15,21.7391,3528249,103772.0294117647
"님프 달의 정원",22,43,0,0.0000,3632995,88609.63414634146
"사막 지옥의 모래구덩이",22,199,76,38.1910,3475906,91471.21052631579
"[reverse] 포레스트 기암괴석",22,103,27,26.2136,3309651,94561.45714285714
"[reverse] 사막 버려진 오아시스",22,70,13,18.5714,2624646,87488.2
"[reverse] 사막 피라미드 탐험",22,127,25,19.6850,5643107,125402.37777777777
"1920 수상한 증기 공장",21,189,78,41.2698,5632330,152225.13513513515
"아이스 상어의 무덤",21,77,2,2.5974,3505375,103099.26470588235
NULL,20,NULL,NULL,NULL,NULL,NULL
"[reverse] 노르테유 우주 정거장",20,100,21,21.0000,3016044,86172.68571428572
"[reverse] 포레스트 버섯동굴",19,105,29,27.6190,3109191,97162.21875
"해적 어질어질 부둣가",19,42,2,4.7619,3242057,111795.06896551725
"[R] 마비노기 이멘 마하",19,65,15,23.0769,2883241,115329.64
"문힐시티 조심조심 기찻길",18,95,19,20.0000,3023905,97545.32258064517
"아이스 펭귄전사 눈덩이 공격",18,155,71,45.8065,4123736,133023.74193548388
"사막 오래된 송수관",18,164,83,50.6098,4660398,145637.4375
"황금문명 신비의 황금 콘도르",18,110,31,28.1818,3060363,92738.27272727272
"신화 꺼지지 않는 불꽃",17,154,29,18.8312,4195922,97579.58139534884
"WKC 호주서킷",16,187,59,31.5508,3565876,104878.70588235294
"해적 위기일발 대탈출",16,145,88,60.6897,2587302,117604.63636363637
"아이스 공포의 하프파이프",16,102,32,31.3725,2734760,97670
"[R] 마비노기 티르 코네일",16,68,0,0.0000,2753487,80984.91176470589
"[reverse] 포레스트 통나무",15,131,65,49.6183,3023115,111967.22222222222
"노르테유 숨막히는 터널 탈주",15,115,44,38.2609,2445453,90572.33333333333
"어비스 바다 소용돌이",15,299,425,142.1405,5911817,137484.11627906977
"올림포스 스틱스 익스프레스",15,129,65,50.3876,5061756,144621.6
"[reverse] 광산 뽀글뽀글 용암굴",15,90,13,14.4444,4317457,123355.91428571429
"[reverse] 빌리지 고가의 질주",15,85,20,23.5294,3577027,127750.96428571429
"포레스트 유격장",15,129,143,110.8527,4330737,139701.1935483871
"[reverse] 사막 베거이 시장",14,101,54,53.4653,1643498,91305.44444444444
"[reverse] 해적 짜릿한 고공비행",14,96,23,23.9583,3168151,117338.92592592593
"[reverse] 공동묘지 유령의 계곡",14,60,15,25.0000,3587772,163080.54545454544
"문힐시티 도시의 두 얼굴",13,67,0,0.0000,2411205,100466.875
"[R] 코리아 부산의 밤",13,118,53,44.9153,3895867,162327.79166666666
"[reverse] 사막 지옥의 모래구덩이",13,59,45,76.2712,2030936,106891.36842105263
"[reverse] 노르테유 붕붕 점프",13,215,78,36.2791,3739832,98416.63157894737
"[reverse] 빌리지 손가락",13,98,13,13.2653,4625534,140167.69696969696
"빌리지 파괴된 시계탑",13,117,51,43.5897,3221236,140053.73913043478
"월드 이탈리아 여행",12,85,18,21.1765,2714571,113107.125
"[R] 코리아 인천 센트럴파크",12,67,12,17.9104,2991545,130067.17391304347
"올림포스 여신의 성소",12,50,43,86.0000,2091339,123019.94117647059
"카멜롯 외곽 순찰로",12,130,28,21.5385,3369755,134790.2
"[reverse] 사막 울렁울렁",12,67,15,22.3881,3017817,143705.57142857142
"어비스 지상으로 가는 길",12,97,68,70.1031,4861670,173631.07142857142
NULL,11,NULL,NULL,NULL,NULL,NULL
"[reverse] 아이스 투명동굴",11,21,0,0.0000,1435020,102501.42857142857
"빌리지 댐 위의 대결",11,64,19,29.6875,3104293,163383.84210526315
"대저택 버블버블 키친",11,135,7,5.1852,3645459,95933.13157894737
"차이나 북경 경기장",11,71,7,9.8592,2419883,100828.45833333333
"노르테유 우주선 침투",11,63,18,28.5714,2026847,106676.15789473684
"사막 더스트2",11,41,16,39.0244,2021915,155531.92307692306
"신화 도전의 전당",11,38,6,15.7895,1934154,101797.57894736843
"[reverse] 동화 목욕탕에 개굴개굴",11,100,38,38.0000,4585080,120660
"사막 스핑크스 수수께끼",11,57,9,15.7895,2205177,110258.85
"[reverse] 포레스트 골짜기",11,20,0,0.0000,1596778,114055.57142857143
"사막 울렁울렁",10,57,13,22.8070,2320891,128938.38888888889
"님프 달팽이의 통나무 지름길",10,107,72,67.2897,3576715,127739.82142857143
"해적 해적선 보물탈취",10,110,70,63.6364,1478347,113719
"어비스 바다 속으로",10,45,14,31.1111,1019943,67996.2
"황금문명 CSO 아즈텍",10,113,44,38.9381,2144068,112845.68421052632
"황금문명 흔들리는 위협",10,57,23,40.3509,1489516,106394
"[reverse] 해적 폭풍 속의 질주",10,38,10,26.3158,1677613,119829.5
"[R] 코리아 제주 해오름 다운힐",10,79,17,21.5190,1821696,86747.42857142857
"대저택 루이의 서재",10,44,10,22.7273,1949595,121849.6875
"[R] 코리아 전주 한옥마을",10,88,33,37.5000,3049568,160503.57894736843
"[reverse] 빌리지 붐힐터널",10,128,31,24.2188,3025590,116368.84615384616
"사막 파라오의 안식처",10,74,14,18.9189,4138518,165540.72
"동화 목욕탕에 개굴개굴",9,120,10,8.3333,4372772,132508.24242424243
"[reverse] 광산 보석채굴장",9,23,6,26.0870,1444209,131291.72727272726
"팩토리 부비트랩 공장 탐험",9,70,5,7.1429,3083300,146823.80952380953
"카멜롯 바다 하역장",9,110,80,72.7273,2233270,131368.82352941178
"월드 브라질 스포츠 스타디움",9,45,10,22.2222,1917265,106514.72222222222
"공동묘지 비밀의 수도원",9,95,12,12.6316,2076386,109283.47368421052
"팩토리 우당탕 대소동",9,163,76,46.6258,3209402,152828.66666666666
"차이나 북경 스포츠 공원",9,64,47,73.4375,1734732,102043.05882352941
NULL,9,NULL,NULL,NULL,NULL,NULL
"동화 카드왕국의 미로",8,75,30,40.0000,1543219,102881.26666666666
"황금문명 크레이지 고디우스",8,96,34,35.4167,2087428,122789.88235294117
"카멜롯 순찰로 역주행",8,59,19,32.2034,2055167,137011.13333333333
"[R] 코리아 다이나믹 서울",8,59,37,62.7119,2231863,117466.47368421052
"포레스트 바람의 봉래산",8,47,5,10.6383,1703503,100206.05882352941
"비치 해변 기차",8,62,14,22.5806,2401863,141286.0588235294
"황금문명 전설의 황금용광로",8,24,6,25.0000,1141031,114103.1
"팩토리 거대톱니의 위협",8,98,76,77.5510,857932,107241.5
"[reverse] 노르테유 우주선 침투",8,113,59,52.2124,2821239,156735.5
"팩토리 핀저의 위험한 적재소",8,32,6,18.7500,1598827,133235.58333333334
"대저택 루이의 정원",7,60,19,31.6667,1815646,129689
"광산 떨어지는 폭포수",7,19,2,10.5263,1134441,113444.1
"카멜롯 기사단 훈련장",7,77,53,68.8312,2421378,115303.71428571429
"빌리지 돌아올 수 없는 지름길",7,43,8,18.6047,1750142,125010.14285714286
NULL,7,NULL,NULL,NULL,NULL,NULL
"[reverse] 노르테유 위험한 지름길",7,81,17,20.9877,1971886,109549.22222222222
"포레스트 버섯동굴",7,40,8,20.0000,1428984,109921.84615384616
"[reverse] 노르테유 부스터존 점령작전",7,54,7,12.9630,1717058,107316.125
"아이스 짜릿한 고공점프",7,103,19,18.4466,2795173,139758.65
"비치 신나는 여름 휴가",6,29,0,0.0000,1464052,112619.38461538461
"팩토리 부스터 제작의 비밀",6,12,2,16.6667,749078,107011.14285714286
"동화 가시덩굴괴물의 등장",6,93,66,70.9677,1643235,117373.92857142857
"[reverse] 빌리지 수로",6,182,90,49.4505,2791490,126885.90909090909
"[reverse] 포레스트 폭포속으로",6,36,6,16.6667,1479442,123286.83333333333
"님프 통나무 아슬아슬 점프",5,41,4,9.7561,1408713,128064.81818181818
"문힐시티 덜컹덜컹 지하철 탈출",5,8,0,0.0000,575116,95852.66666666667
"[reverse] 노르테유 허공의 갈림길",5,72,15,20.8333,1042003,74428.78571428571
"[reverse] 동화 프레티온 목마",5,65,54,83.0769,1626069,101629.3125
"[reverse] 팩토리 모험의 시작",5,117,12,10.2564,2790614,103356.07407407407
"[reverse] 팩토리 브로디의 심술",4,134,144,107.4627,1846315,97174.47368421052
"아이스 크레이지 펭귄타운",4,78,7,8.9744,1421759,94783.93333333333
"[reverse] 아이스 갈라진 빙산",4,26,12,46.1538,1336367,222727.83333333334
"어비스 바다의 인도자",4,16,6,37.5000,669253,133850.6
"광산 무너지는 금광",4,31,3,9.6774,1051823,105182.3
"팩토리 크레이지 모험",4,33,3,9.0909,1471505,105107.5
"브로디 위험한 프레스 공장",3,17,3,17.6471,742356,123726
"차이나 크레이지 동방명주",3,22,0,0.0000,866203,108275.375
"빌리지 크레이지 운하",3,17,0,0.0000,559969,79995.57142857143
"월드 런던 나이트",3,61,22,36.0656,2789940,309993.3333333333
"비치 크레이지 여객선",3,17,0,0.0000,761839,108834.14285714286
"월드 크레이지 그리스",3,49,48,97.9592,1254669,96513
"[reverse] 노르테유 코스모웨이",3,54,12,22.2222,962642,106960.22222222222
"[reverse] 해적 위기일발 대탈출",3,29,10,34.4828,727043,121173.83333333333
"비치 간이역",2,58,24,41.3793,598959,99826.5
"[reverse] 포레스트 행복한 팬더 마을",2,13,3,23.0769,423090,105772.5
"공동묘지 공포의 외길",2,13,0,0.0000,592347,118469.4
"[reverse] 공동묘지 해골 손가락",2,13,8,61.5385,4157923,2078961.5
"포레스트 크레이지 골짜기",2,20,0,0.0000,649013,108168.83333333333
"사막 크레이지 오아시스",2,29,5,17.2414,568051,94675.16666666667
"[reverse] 팩토리 우당탕 대소동",2,8,2,25.0000,421119,140373
"팩토리 수상한 증기 장치",2,18,3,16.6667,538262,107652.4
"빌리지 손가락(아이템)",1,4,0,0.0000,242750,121375
"[reverse] 팩토리 거대톱니의 위협",1,9,0,0.0000,305161,101720.33333333333
