trackId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,matchId,date
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,1762193694,BreadG,5c32ead5a24f24e76b0237f944c220a4c43333c3e6133ae35c63a3b39e6b7e49,1d4423326e3d0e8b12d5d01ede67c076b5cc753e43d4b374b27c1313da685b6d,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,8cc64a4759f245b29ecb30043ae6eb9f9cd63ece7fd9f474cbdeecd330618032,7.0,1.0,1.0,1.0,3,6,0,0.0,122765.0,04090009025f3475,2022-10-08
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,1728220649,ANDRE6,ffbff03058d1ac96b4d59b378234d9f17218e26d76cc1db11d3854e271c12cf9,aa7a620d8d7a694b26d73459505651900d5cdf85f3d54d0216ca85adb8a127bd,,0ffbccc0a4308cf17d588929129f1a5cda511e874bf606fb129adb90b6f91ea2,,11.0,14.0,22.0,22.0,0,2,0,0.0,113771.0,04090009025f3475,2022-10-08
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,1879818183,ø‹µøµ˛≈¨∑°æ≤,07b0acd6126731392e9286df343cb1e79525e55b029c6c4ae0bf5d248add77e6,7c44359b099b417f44ab84e1614458967001f6056e7d3b80c7cd3407e8fdd0a2,,bc04969d9c97b4923330ee9917abe82d0528352b116e531f70e4100a37ab5c2d,51e8a8ccab8c76f38f12897975acfcebb0dcd2a705eb42429ea0c771b73152ec,3.0,0.0,0.0,3.0,2,1,0,1.0,113770.0,04090009025f3475,2022-10-08
527872c275545791cae6465675f37633e725ef2cac58e5722dd5a7eca80be4de,282143,∏≈¿œπ„≥∑,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,0436aa714f3df58c9885cb6eea35136d7fa88146d303567b2b93a40b599b310b,,fab5343f3d67227ec4f123d74a17dc2dc34d512165102523bcc62599f1c5b003,fbf9b4761e26803824583eb8831141750b16561c38c86983b838a8389d29a1fa,2.0,3.0,3.0,4.0,2,3,0,0.0,115445.0,04090009025f3475,2022-10-08
619d446ee03efe7f0c4c4a18d619519a1c3487798f6b0b8993f365318a3feb07,1208596710,lupinpatran7,ff9500e97de303feb631169db317e67614d528dccad7a2103665a840ad4ea23e,0cbfaabef3110eb016a75fba3e00fbe4ae3cafc0a68f5b7aa83bda3665305b6f,,f28ff31b31a0129c01614140e705ce9b276948a69a004fb75d09ca5fea81393c,13e247466d75204e1b3d587abcc11def087f6ffcdfcf798cb2c4b8edcddd8f5b,0.0,0.0,0.0,0.0,0,1,0,1.0,121931.0,01250009025f26d8,2022-10-08
619d446ee03efe7f0c4c4a18d619519a1c3487798f6b0b8993f365318a3feb07,1846130144,Ragingames,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,a742e19660f9ccc7c6cbec2dc90aff64f48d066a8d82cbab24ccfdd360816c80,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,2,0,0.0,124290.0,01250009025f26d8,2022-10-08
7bfadcb26aaae8b3e767510da62db33104e19a1f7b083ae0c2f538603e7d2101,1141662319,¿¿∫ÿºº,029704940d22ae90b08ab5ff92beca5a6a2e7c3bd481acee1979767ebd023396,9f3130902d6a443874449194f0d87c7115f5e472ee4dd36a33032b979e90537e,,,,,,,,4,1,0,1.0,132085.0,02c80009025f099c,2022-10-08
7bfadcb26aaae8b3e767510da62db33104e19a1f7b083ae0c2f538603e7d2101,906629653,∂◊∂◊¿Ø∫Û,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,e9b491ed7c399f8f0fd67c194458fa31de3755ece0aa136ccae0280b2516e3b1,,,,,,,,5,2,0,0.0,132296.0,02c80009025f099c,2022-10-08
a92875e4d4ce9d4b02b02689f1302afd981b9695cf79f8c6e020738f1a51e8f8,687985657,æÀªµ,603525cfc1b16337100a381de6a3ab9814835b6a20fcf9e1499e9374796cea45,a0f8e8f6331f473014d21e5b8596cc179db98102fe92dbe44e443a543c72fd27,,22641bfd5dfd023697200531370f04c3e65bd9afe2cea252ce262a9e4364a29d,1c9c5c3abd07019b062db8d13108da825254bb5a610e3b8a0153c8baa3dfe29a,0.0,0.0,0.0,0.0,0,4,0,0.0,113909.0,01430009025efd57,2022-10-08
a92875e4d4ce9d4b02b02689f1302afd981b9695cf79f8c6e020738f1a51e8f8,1242202499,«ÿ∫¥¥Î∞≠∏ÆøÏ,27eeb6160f01bde8a8deddac8ee0607b54b89b18b6c6ab3917d3b677f7b0a066,6e0bdbfbaf920a569357ef8eee704b678ced1b6015f428417e79b26ae51f658e,,4dede12f9e77ce1e4e3dc1e1ee67596b4fa5c29a994470da6526e7dcd2e313f9,134d30c43f10b461d98952da5555520a29bc1084ae41c496840468c3c077a064,,,,,0,1,0,1.0,113080.0,01430009025efd57,2022-10-08
