map_name,track_id,cnt_match,percent_retire,AVG_record
빌리지 시계탑,0f143c77b9a4cf1fc7343a1a88a62928473800c7bd02fc9279beb1178d1d1a1c,63,40.3996,128849.1594
잊혀진 모래의 기억,d1e3708e4f841bc7a94f372b459183da29be083e4ea3b2616b984a3f2928be60,63,43.7962,197395.3243
카멜롯 전차 추격전,de7d51d665886f5ebe8f54095276af5b54e0c49171b6f818c73faec4c59d2dcf,61,27.2242,85933.57237
사막 피라미드 탐험,dc80a4c9f653174e14012be6ae531f795356bddaa689121c315c5b640f1f1ef4,60,44.5559,110776.93
[R] 어비스 숨겨진 바닷길,eba0da905cdfc0070e86b5150336c4c0590cd59056c3d44a6d287636ec1da611,60,49.7154,285271.8659
신화 오딘의 궁전,40c309ab0a138e090c42d8d265bc464a40196c338c899c04be8ac83552f5a30f,59,26.3514,136810.7288
빌리지 손가락 2,90eec0c786ac7ad4be603ae3a67965c9ccf8e928594ec7941fa44611e51bd15f,58,19.9461,175579.3019
[reverse] 빌리지 시계탑 운하,97e10a4f59bd19d60888eab81c4e2ea53f2579bf99a5195cf298a211711b6303,58,65.1047,188735.8043
브로디 에너지의 원천,bd1df39255690da9d335e0054a2771b50c9af591a8be1c26a939c4b449780be0,58,5.1471,109077.973
절망의 카타콤,60b648ee4485f1eede64e3e9b5d71752d6237ddd3650bd012f55176701b835e3,57,39.0328,301441.7818
WKC 브라질 서킷,dcd0ec84cf5920e12ad5bc13461ba3deaab0bad143f28606b1db34426ed263a2,54,33.4056,138557.8602
올림포스 선택의 문,bfd558c15104ec3ef0f182893a3c9bd77052ce7675028c86dd92a45fa52e8ed5,53,12,75268.31667
광산의 지배자,03f7cfe4dc950329d0fd519fe1c5755b54582b30ebed338fa605b4ddd04c0315,52,39.7313,373421.8556
포레스트 통곡의 절벽,4c27123c74544b9ec5503f8ff37a0aed4b6257ad900abf2fcb5e6c029b78c55a,52,31.9175,184486.3821
어비스 숨겨진 바닷길,4b46091f3a72e4d4425ff0793b3791eabbc15cb84f762c302c750483267a8a9a,50,44.7979,188711.1296
[reverse] 사막 빙글빙글 공사장,b925d9e4efc94e1f61c300340eab1db324dc80476d73fff1668a1767c98201f4,49,54.0096,198813.9802
,619d446ee03efe7f0c4c4a18d619519a1c3487798f6b0b8993f365318a3feb07,48,22.2717,94948.5814
네모 메디아 은신처,312525ff7273befba2df23ea3ff2936fbba4ab4ae081ead545ceeef3f6d1631f,47,28.3186,84429.32075
브로디 거대한 에너지 생산기,47b79bc1e96c3bbd71713218c4b4ff374c91b922e1c59b2edc14651209ad2929,47,4.8193,77925.01818
광산 아슬아슬 궤도 전차,f4d1552bfea034d5eed948e632b6d2e1a210983ce485b0699ece061841893013,47,35.3234,133395.4268
아이스 투명동굴,21581b3c79c6dc8cff34d169593115a642c3f5c066f57d8db2a6b1b89ecaefab,46,39.68,102043.0122
[reverse] 포레스트 지그재그,72a02ceee940d4a33892b828515e07d7695dfec17534452f62839cbaed2c0f98,45,20.777,180208.3186
월드 파리 드라이브,e1fd0bf641271d2baf88a1f68a779a375f5259c56ad860a57a5cc529dfce98d5,45,16.5992,115577.6267
마비노기 바올 던전,a9a8be547d729112e02f1301f2b6a43ee3cbdcaad32c3d926811aa6c9bd2c1dc,43,48.5089,124922.9109
대해적 로두마니,6c9a71c4d3f843af9bf3f129cf9f4a213cd79f73db8f016ae7a005703c0cec0e,42,61.9621,307164.9351
마비노기 던바튼,f62450db52ad3875acb8eceeba700f861fa3e510e316a07466b97a84737fea2c,42,6.5068,92856.69565
공동묘지 해골 손가락,70b1478080c29c0058805dd742f2d0427f7e47dafb8e9f847d9d25b93837eb22,41,35.4688,119660.2338
해적 상어섬의 비밀,9e7607980870bee91d7353f86d449f988480428b7e8b10d7be4d5be2e54bbee6,41,28,179913.4875
어비스 운명의 갈림길,6d9074afa379ec224ad4e77da0fe41e3fc1495557fa66ec4b0e20f41d85e832c,40,29.1632,103484.7686
공동묘지 비밀의 해골제단,6fadee14cba0c0795841e24d4f4ae58d2f5f74956c5d23f82edb7bb1aca54916,40,0,88458.4
문힐시티 터널 속 무법자,c9d352942e136a8fc1e56d0772f00e29149252aebc222ed77ad5feea2bacf6c3,40,3.8462,98267.57407
노르테유 붕붕 점프,75fe6fe1cf114683a0308334e9a9079f9882ba1dc9124dbb45cb5b257e1e4c9c,39,24.5014,99617.0625
월드 그리스의 휴일,783f08e9fdaa169ec3138eecf72451e9439211d414e200e65462bd318fbef9c5,38,0.9174,95892.96825
문힐시티 지피의 시청광장,381322773234251df86c96e4745cb63a77fb2c43633b7a1cc032ae7677c5a0c7,37,19.0323,111661.2233
놀이동산 스릴만점 레일특급,50fcdefd4c4bd9c6af14151be6c227ab661255e920a043ce2bf2bc03426480f4,37,38.7805,125769.7705
광산 보석채굴장,cb9790f64ce28a230f7a5d76945adb36012a2acfa7108b5285f1af8f00eb0e0d,37,8.9744,123612.6415
[reverse] 빌리지 운하,ce4a7c488607311283b4e3948d18c45140e6be9575b27a204f5bf32662b18c91,36,11.5942,80736.87356
,17b78e6bd13587c22ae01ed73fec7c2bbebd2509f4691932bcbc1276b03f67ae,35,20.9302,123104.4474
[reverse] 해적 로비 절벽의 전투,9543832bdcc21248c9ebcd1790867a0c268ee39574dddab2a4411dc40dca7065,35,31.2655,163432.1923
놀이동산 워터 슬라이드,4ac2a1e802e3c2f6370f55b8629879a84389e5fa511547f0f88d928a5583d7db,34,33.7963,108592.5484
문힐시티 지피의 미완성 빌딩,6f39b6766c8a93b662250c86c038154139b42448d12f0cea3adbfc45d16f4788,34,18.0645,94595.78431
아이스 짜릿한 동계 훈련장,88a9beef1044ebe0987d8e3df4cce564df126710bf92099784a4f037932901dd,33,3.1056,135781.2182
비치 수상비행장,b04674084c57c63a15b87495d48e654fa12a96342dcac1b27f645bb891cdf0c8,33,35.5422,151069.087
님프 요정 마을의 초대,5be6b53ddfcab325d85c16b5dc147d1f47a258e7db0df786554ccf46c053bb55,32,45.1613,91370.34884
WKC 싱가폴 마리나 서킷,e86138a3a04c138f991da883d4052ff3a00624ba9eb29d00452948d908a0de4c,32,34.6457,109445.9524
노르테유 부스터존 점령작전,28bc49ae36eecd5016c5340b31d24cf981567b5ceed2b642798256007fde9497,30,23.9521,109147.4583
도검 두 마리의 용,d6dba79d27e739554fb7c948b99868a381599344fb512de17e9392dc8ac405ed,30,25.974,120456.125
네모 구구 둥지,b891b515ffdf97ad4d5b3dfccedcbb37a66726748700ebb6033e0bf8803b4270,29,17.9688,118697.6522
대저택 루이의 장난감 천국,e60a23798eb0f55e5867398340696299e9a40dd87ec6e9aac92c48e99eb1405f,29,52.0755,136255.3721
