trackId,accountNo,characterName,character,kart,license,pet,flyingPet,partsEngine,partsHandle,partsWheel,partsKit,rankinggrade2,matchRank,matchRetired,matchWin,matchTime,matchId
02cbc0e83890810b3a163465021b4bd06e3deb39cc6d58be55e978f498e889d5,84099414,바람소리rey,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,e6649ab579ce1bd4bbdd5159fad00cf2759f2a8245f1a9e7f02f56a615c282b0,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,bc0cb26aec42bbf33f3bba47e9eb930d890df475161666aad43151284c56217a,1,1,22,8,4,2,0,1,132499,030e00010aed8f5a
02cbc0e83890810b3a163465021b4bd06e3deb39cc6d58be55e978f498e889d5,100969418,Hero척준경,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,1ab581ed45be8cfa723a89f5e182f00f6dd5ac7dd4eac967f96a1b1682a22e3b,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,dc71a2cd436c8cfd2260d1db3df45ff8ab735fa090119385cd500d2efab44397,2,1,22,8,0,1,0,1,131624,030e00010aed8f5a
02cbc0e83890810b3a163465021b4bd06e3deb39cc6d58be55e978f498e889d5,201525880,빛나는손끝,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,d39ce0b830ddaa509838409034cc25cf540ef89f68dc1862bf95a7126539786f,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,44338a00eafb0d85851fa471384b28c5c6683ec5e61637ebe33eb2949ccb09cd,,,,,3,4,0,1,138137,030e00010aed8f5a
02cbc0e83890810b3a163465021b4bd06e3deb39cc6d58be55e978f498e889d5,1442850916,하트뿅Y,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,d5f191c6a691dc5fffa238811595dfbf5760b980112724bc92d159c04c64e26c,ffb9b61e71641f8450a7cbf43804740439c2de2e612ce1d75d049ced79a6e24e,1,1,1,2,3,3,0,1,133813,030e00010aed8f5a
973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,403292520,연습중w,0ded654f533985e3b0f4967a551c2c2c67b52c563b07f558b96b03336c5f4f14,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,,,,,4,1,0,1,50382,0365000d0aec22e9
973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,453256959,꿀o밤,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,121b935d13a4d8145906140ac6a75093c2dd583098e17dddbe664bfb38c6cb09,,b5e59da7e51a056fca10406d710af9898b1f29e4182036c10848396908403f23,ffb9b61e71641f8450a7cbf43804740439c2de2e612ce1d75d049ced79a6e24e,2,1,1,2,4,99,1,0,,01b3000b0aee990a
973116ef458e79c7a89e3c4a052472e47e06d65fc84d9ca9881a08ef36b529fc,2047175009,꿀o꺽,4c139477f1eef41ec9a1c7c50319c6f391abb074fa44242eb7a143007e7f7720,6f20c93dcd8e05b0afa53abd2e273def8aa468c696ddfc32cf5d997c9ca4d7f1,,996b64d549be15e70c3e5c605af2ae9d0ff59c7bf4e103f55301175d75c01471,8cc64a4759f245b29ecb30043ae6eb9f9cd63ece7fd9f474cbdeecd330618032,,,,,4,1,0,1,58630,01b3000b0aee990a
063bb12532648af822545b74a44ae0b2149561f9d2aa0110e0fd518b551d1f7a,738900599,벨루시우,a6d90f9fc4e59a429af4d128b4ad1715ec6860e25c66e600ce0d910faecec786,9002ba333110adec61a9defea77318127595851df0c7ef3824bb62e398c9dabc,,,,,,,,0,1,0,1,88112,00e100080aea3487
243ccbc7e0f66415976bd36d3718821c2af1440d16e923dca6be7a0b4bc1c02c,1828896240,파랑새파란,0192ff377857e250d5dac8b435b774de8675a9b8589d850cf024588436ff6d0c,d47aa62de79d88ecee263e07456555d99ff8957f1760d0f248667913acbc2b67,,7a7a2bb63e9ea660b9bc688fad2b2b41e8b3bf4e85dbcf9eced6dff61fe9c584,,0,0,0,0,3,1,0,1,90417,006e000d0aeba6d4
243ccbc7e0f66415976bd36d3718821c2af1440d16e923dca6be7a0b4bc1c02c,873254227,MysTic두환TV,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,f7724634e3a539e6f45cbfa30eb90074081fcb2abddeff6f035d06191d784931,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,99,1,0,,006e000d0aeba6d4
3a801d3a1be83ef6c290f942e9a9c90b8a5ebc8d978eaaa5e908950f2903e8cf,402957257,l비행l,6e5f6fcfcf09c462980436a6bf89b9d87aae4e2491c200922f1e76bb84d35f86,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,99,1,0,,00ee000d0aeba415
929803c3549892072d76bea9fbe5811424146ac8a5ba3ffd91741c50ff06a9a8,1141340258,Renxiya,4671e909b560c426d32bc83e28c1871a01ca4dd73c7e21289834876926dd67d0,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,87d9b446e122b6601b4a36590360c1f7b4dc263aaa2152c9ef75177373eaa409,51d5c4104b2874df4c0348ac929b35a709e853643c3148a5cf967901fd092c89,,,,,4,1,0,1,87545,0327000d0aeb9b1c
caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,1661601525,커엽쑥2짱,9db1d0be9ebee32909451e30d6a0dd83fef43f96872ff6495895b902c5fc79ce,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,996b64d549be15e70c3e5c605af2ae9d0ff59c7bf4e103f55301175d75c01471,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,0,99,1,0,,02af000d0aeb9c06
caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,856301016,커엽유2짱,48322ea7be9cb6ff63d2cedcc92a1dfb4e773bbcd2fa388a9d6e4776f05babcf,f84b6fdf1a1e377b0be61a809fbdce8f6dac12ba087e78125f72334634b10a7e,,7b34fb3da1d2b564672a2ae3938c7ad011f2743e18f0887aa473fa8f9d41c901,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,,,,,0,1,0,1,55900,02af000d0aeb9c06
caf2382bb9c0cf432379d97e5658cd0f1f7ad0008bac0a0bceb6986209143b36,990019571,날두고봐,48357251a360710371aa5c9f0952ea10ab454feae1d53fcd147980068b33181b,f6799591217651d8f449a7877f70d21bcd344687575ef44f3ca3230aa40e8ba3,,f69c4abf9ae9fe3818287b017b06c93a19933cbf0e6e8d657f306bd6eee46c30,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,2,1,0,1,65780,01f5000d0aeb8a53
7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,1459822030,킹받는또치m,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,,,,,,,,,3,99,1,0,,0393000d0aeb816a
7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,235699102,주하no1,099c0842035d4f9380fecd6df971d78cf07c05dbd459c6e4304c1177d8a23b79,af2552c4038a66fc6903b6414700576826bdc7c2bcd246b8bcc38644ed7f2df8,,,,,,,,2,2,0,0,112488,0393000d0aeb816a
7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,923596535,박님박님박님,2ce4fd9f8a95f35afb484d247a74ff2edd16b1d60875bd86a05a86ae6cd664fd,9c6d8c9d4c25e9a9e96f8c305cde01fb257d4df332b9186c063d12de3e1dd3bb,,,,,,,,3,99,1,0,,0393000d0aeb816a
7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,1510683292,용띠대장,42c729e64e31aea803e4881432f7b95129ce97535c29e4f9a72919a9f267b418,9002ba333110adec61a9defea77318127595851df0c7ef3824bb62e398c9dabc,,,,,,,,0,1,0,1,107552,0393000d0aeb816a
7394f4ea05d4115bc1308101998132e50e366c4456c6368a1800a494c6f8c0c1,1124698974,킹벅,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,c71da2ae214ef9371da937833a0edab58b5ced980b560e1b87d16847756411ac,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,0,99,1,0,,0393000d0aeb816a
751e252308abbced14f6a5efcfb555c28776e6009ca3c622eba35788e70a3bab,436905638,JINHMIN,48322ea7be9cb6ff63d2cedcc92a1dfb4e773bbcd2fa388a9d6e4776f05babcf,e091361f3b01bac4f0f02076327be683f7d6dd9c3fb03ef095cc940144ce5757,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,3,1,0,1,116089,014f00080ae9f22e
751e252308abbced14f6a5efcfb555c28776e6009ca3c622eba35788e70a3bab,722239570,문어세진,b6eb565e2940edbf43e4fcc42993dcdf12817f35714627ab4790853b6b2eaded,,,,,,,,,0,99,1,0,,014f00080ae9f22e
d167c7195cee3b4e65cf30f507affb0a85d00a5babfc6a1aab482b137698e384,738461287,NISSANlR34,43bcf60878db4c69303deee4c6b1fe8e0582417eab3987aa1c6d5924273c2300,7e75c6912f939c058d49cd369aaca619864592dbf6e57d7dcb1d78d7430115f2,,,a87cb96d91a4e0c357c4eaeb7dbc05ef515d183e79a8aa0e674c36f917400a4b,,,,,4,1,0,1,106377,00bb000b0aee0238
d167c7195cee3b4e65cf30f507affb0a85d00a5babfc6a1aab482b137698e384,889479039,흰소를부탁해,27eeb6160f01bde8a8deddac8ee0607b54b89b18b6c6ab3917d3b677f7b0a066,d330a211c3b0e13e440465cd847a8825901160dcd86def1cf81863bb6d85d15d,,,d064fb1098287bc1ddf83798b94585ee317dcd90275b10e5411bdc2906e569fd,,,,,4,2,0,0,108018,00bb000b0aee0238
12170098c74c9d6d7db9abb0d5e0cde38c685b5c171f1d4f5b369abe2b22d61e,1594126906,세투더욱,2ecb10f5e23493727a80a91421d6242a18b131f743676e72317bde4bd5d27131,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,,5109c1e43283151c0dadbe0fb74f7046d92996768481dc56ec2334c68caee630,,,,,4,1,0,1,126949,01ce000b0aede7ea
12170098c74c9d6d7db9abb0d5e0cde38c685b5c171f1d4f5b369abe2b22d61e,118059050,s뀬s,81c9f10de2f39d42f97b206c5804c32495e3f3e751d20529e1ac3c8aeb0a4939,f45265f477666269a0255682bb1435e5a704c25fa96cd60656e030abd394a589,,,8cc64a4759f245b29ecb30043ae6eb9f9cd63ece7fd9f474cbdeecd330618032,,,,,4,2,0,0,128711,01ce000b0aede7ea
